complaint_id,account_number,ifsc,account_holder_name,complaint_date,complaint_type,reported_amount,state,district,ground_truth_entity_id
C000001,220342736258,CNRB0008899,Kavita Roy,2026-07-20,Online Banking Fraud,402817.53,Kerala,Kochi,ENT_000040
C000002,697775508839,PUNB0009876,Rajesh Shah,2026-01-11,Online Banking Fraud,500000.0,Delhi,West Delhi,ENT_000450
C000003,535120090431,UBIN0007788,Vijay Pawar,2026-04-22,Payment Fraud,267125.17,Andhra Pradesh,Tirupati,ENT_000475
C000004,740300175457,UBIN0005566,Ritvik Agarwal,2026-06-02,Payment Fraud,40000.0,Haryana,Ambala,ENT_000391
C000005,932086292191,PUNB0005432,Kabir Gupta,2026-06-07,UPI Fraud,270966.24,Andhra Pradesh,Nellore,ENT_000437
C000006,949994808961,BARB0002345,Aditya Mishra,2026-01-06,Payment Fraud,166201.13,Kerala,Kochi,ENT_000143
C000007,736119440405,SBIN0001234,Suresh Mishra,2026-04-26,UPI Fraud,17189.69,Delhi,North Delhi,ENT_000162
C000008,903526763113,KKBK0007890,Shri Krishna Gaikwad,2026-05-07,UPI Fraud,433506.21,Gujarat,Vadodara,ENT_000042
C000009,942720833045,HDFC0005678,Pooja Dutta,2026-02-02,Identity Theft,50472.51,Telangana,Rangareddy,ENT_000354
C000010,571066644856,KKBK0001928,Karan Singh,2026-07-07,UPI Fraud,75000.0,West Bengal,Siliguri,ENT_000608
C000011,718671636967,CNRB0004455,Sara Biswas,2026-04-20,Payment Fraud,130200.19,Bihar,Muzaffarpur,ENT_000629
C000012,395036212198,SBIN0001234,Pari Sen,2026-08-22,Phishing,225837.27,Kerala,Kochi,ENT_000339
C000013,712277588519,KKBK0003210,Kunal Shah,2026-05-04,Investment Fraud,7500.0,Rajasthan,Jodhpur,ENT_000676
C000014,488893282253,UBIN0005566,Sneha Choudhury,2026-06-01,Investment Fraud,139945.85,Gujarat,Surat,ENT_000535
C000015,437872761622,SBIN0005678,Sara Malhotra,2026-04-29,Identity Theft,145681.01,Punjab,Bathinda,ENT_000352
C000016,868287386081,KKBK0007890,Aryan Verma,2026-01-14,Shopping Fraud,69113.95,Tamil Nadu,Tiruchirappalli,ENT_000231
C000017,965467382366,KKBK0003210, Roshni Verma,2026-07-09,Identity Theft,242780.9,Maharashtra,Mumbai,ENT_000433
C000018,879126063625,BARB0003579,Alok Dutta,2026-06-15,Payment Fraud,15000.0,Karnataka,Mysuru,ENT_000361
C000019,793389003818,PUNB0009876,Rohit Pandey,2026-08-02,Identity Theft,200000.0,Punjab,Jalandhar,ENT_000375
C000020,942720833045,HDFC0005678,Pooja Dutta,2026-05-09,Payment Fraud,235346.84,Gujarat,Rajkot,ENT_000354
C000021,362360709927,UBIN0009900,Kunal Patil,2026-05-27,Online Banking Fraud,39938.05,Uttar Pradesh,Meerut,ENT_000179
C000022,709099824282,PUNB0009876,Pranav Rao,2026-03-21,Identity Theft,476737.27,Andhra Pradesh,Visakhapatnam,ENT_000083
C000023,942586603917,HDFC0005678,Alok Bhatia,2026-03-08,Online Banking Fraud,73495.49,Maharashtra,Solapur,ENT_000590
C000024,663972481559,AXIS0003456,Meera Kulkarni,2026-03-30,Investment Fraud,388064.03,Maharashtra,Nashik,ENT_000442
C000025,196442742929,PUNB0005432,Pooja Mehta,2026-02-02,Identity Theft,200000.0,Karnataka,Mangaluru,ENT_000225
C000026,592650091135,ICIC0004321,Rahul C. Bose,2026-07-22,Identity Theft,40000.0,Madhya Pradesh,Bhopal,ENT_000465
C000027,806799110299,BARB0003579,Rajesh Dubey,2026-04-22,Phishing,75000.0,Tamil Nadu,Coimbatore,ENT_000373
C000028,920121345586,UBIN0007788,Meera Khan,2026-02-14,Identity Theft,52225.2,Madhya Pradesh,Ujjain,ENT_000296
C000029,947087372942,PUNB0009876,Shaurya Mukherjee,2026-03-01,Shopping Fraud,92633.66,Uttar Pradesh,Meerut,ENT_000015
C000030,189009604775,KKBK0003210,Meena Singh,2026-01-14,UPI Fraud,89902.01,Karnataka,Mangaluru,ENT_000664
C000031,863365472754,BARB0003579,Ashok Mishra,2026-06-29,Payment Fraud,25000.0,Delhi,East Delhi,ENT_000691
C000032,598874133330,UBIN0009900,Deepa Khan,2026-03-19,Online Banking Fraud,489304.62,Telangana,Khammam,ENT_000574
C000033,425586388909,UBIN0009900,Geeta Joshi,2026-05-24,Online Banking Fraud,228375.86,Tamil Nadu,Salem,ENT_000283
C000034,394936156580,UBIN0007788,Ishan Tiwari,2026-03-21,Identity Theft,75000.0,Gujarat,Vadodara,ENT_000018
C000035,609030752531,SBIN0005678,Sweta Ghosh,2026-04-18,Online Banking Fraud,398700.37,Uttar Pradesh,Varanasi,ENT_000130
C000036,790757033266,BARB0006789,Kavita Mishra,2026-01-28,Identity Theft,464996.26,Telangana,Khammam,ENT_000013
C000037,416597264475,ICIC0008765,Neha Jain,2026-08-03,Shopping Fraud,10000.0,Uttar Pradesh,Agra,ENT_000138
C000038,734671708380,ICIC0002468,Angel Mishra,2026-02-02,Identity Theft,4597.94,Tamil Nadu,Madurai,ENT_000489
C000039,718510071124,CNRB0004455,Reyansh Tiwari,2026-05-04,Phishing,320881.52,Uttar Pradesh,Noida,ENT_000274
C000040,699910770735,HDFC0004321,Ishan Ahmed ,2026-08-09,Payment Fraud,1500.0,Telangana,Khammam,ENT_000268
C000041,114651587328,SBIN0001234,Kavya Paul,2026-01-17,Online Banking Fraud,500.0,Haryana,Panipat,ENT_000644
C000042,641819166671,SBIN0005678,Dhruv Shinde,2026-04-24,Investment Fraud,15000.0,Karnataka,Mangaluru,ENT_000249
C000043,573884083684,IDIB0005566,Kabir Roy,2026-04-14,Shopping Fraud,20000.0,Kerala,Kollam,ENT_000688
C000044,966795243734,AXIS0003456, Kavita Joshi,2026-05-15,Identity Theft,42443.07,Delhi,Central Delhi,ENT_000693
C000045,242596327861,IDIB0003344,Meera Bhatia,2026-04-17,Online Banking Fraud,276927.16,West Bengal,Hooghly,ENT_000281
C000046,241844645681,SBIN0001234,Anita Ghosh,2026-08-11,Identity Theft,432488.32,Karnataka,Belagavi,ENT_000310
C000047,346095180020,PUNB0009876,Rahul Dey,2026-01-06,Shopping Fraud,345014.73,Delhi,South Delhi,ENT_000537
C000048,169684544463,PUNB0005432,Aditya Pandey,2026-06-27,Phishing,244278.22,Uttar Pradesh,Prayagraj,ENT_000048
C000049,681739352909,UBIN0007788,Kavita Kumar,2026-06-06,Shopping Fraud,114100.27,Rajasthan,Ajmer,ENT_000578
C000050,205953647125,HDFC0004321,Kabir Kulkarni,2026-01-07,Investment Fraud,110572.22,Karnataka,Hubballi-Dharwad,ENT_000565
C000051,709697887681,ICIC0002468,Dhruv Dubey,2026-07-26,Identity Theft,142696.09,Rajasthan,Bikaner,ENT_000484
C000052,775469860518,IDIB0003344,Ishita Kulkarni,2026-01-25,UPI Fraud,20000.0,Gujarat,Surat,ENT_000171
C000053,655999474067,BARB0006789,Pankaj Shah,2026-05-06,Shopping Fraud,179363.75,Punjab,Jalandhar,ENT_000322
C000054,327265319003,PUNB0001357,Ramesh Khan,2026-05-17,Shopping Fraud,75000.0,Maharashtra,Nagpur,ENT_000628
C000055,165606286550,KKBK0001928,Aadhya Dubey,2026-01-17,Shopping Fraud,25000.0,Karnataka,Kalaburagi,ENT_000607
C000056,764866345752,HDFC0005678,Pooja Singh,2026-06-28,Identity Theft,80788.64,Rajasthan,Bikaner,ENT_000410
C000057,805992461852,IDIB0003344,Sunita Rao,2026-06-03,UPI Fraud,265949.26,Haryana,Karnal,ENT_000394
C000058,842395153057,CNRB0004455,Ishita Kapoor,2026-04-15,Phishing,200000.0,Telangana,Khammam,ENT_000255
C000059,235030135894,AXIS0006543,Vikram Bose,2026-03-19,Identity Theft,311991.25,Delhi,East Delhi,ENT_000213
