ground_truth_entity_id,account_number,ifsc,canonical_name
ENT_000001,223005401501,SBIN0001234,Rohit Ghosh
ENT_000002,251282538206,UBIN0009900,Pranav Srivastava
ENT_000003,196831611956,BARB0002345,Nikhil Gupta
ENT_000004,198912225902,ICIC0004321,Ira Shinde
ENT_000005,128355454532,KKBK0001928,Navya Dey
ENT_000006,871590378377,KKBK0001928,Alok Mukherjee
ENT_000007,746174432554,ICIC0002468,Aarav Nair
ENT_000008,566854953850,PUNB0005432,Rohit Reddy
ENT_000009,472646369774,HDFC0001234,Atharv Kapoor
ENT_000010,491257417623,CNRB0004455,Meena Tiwari
ENT_000011,985899371430,SBIN0005678,Sunil Gaikwad
ENT_000012,516278088865,SBIN0009101,Roshni Dutta
ENT_000013,790757033266,BARB0006789,Kavita Mishra
ENT_000014,873919986476,SBIN0009101,Sai Saxena
ENT_000015,947087372942,PUNB0009876,Shaurya Mukherjee
ENT_000016,211095701426,AXIS0003456,Rohit Deshmukh
ENT_000017,277660601409,PUNB0001357,Anita Chatterjee
ENT_000018,394936156580,UBIN0007788,Ishan Tiwari
ENT_000019,287410804707,KKBK0001928,Priya Nair
ENT_000020,518597220210,ICIC0002468,Sweta Mukherjee
ENT_000021,459422681391,IDIB0005566,Aayan Mukherjee
ENT_000022,137889353643,IDIB0003344,Ramesh Malhotra
ENT_000023,169869415070,ICIC0004321,Preeti Dey
ENT_000024,333279765207,BARB0003579,Karan Malhotra
ENT_000025,605272201394,HDFC0005678,Sneha Rao
ENT_000026,917103043320,KKBK0001928,Ishita Das
ENT_000027,743158526982,AXIS0007890,Siddharth Bhatia
ENT_000028,254608246768,KKBK0003210,Karan Patel
ENT_000029,154785667210,CNRB0004455,Advaith Reddy
ENT_000030,274493552068,IDIB0003344,Nikhil Tiwari
ENT_000031,521179644432,AXIS0003456,Sanjay Pawar
ENT_000032,112637644335,UBIN0005566,Advaith Srivastava
ENT_000033,692210657021,IDIB0001122,Neha Tripathi
ENT_000034,221720126831,PUNB0009876,Pankaj Nair
ENT_000035,101948728483,UBIN0009900,Sneha Shinde
ENT_000036,296546131054,KKBK0003210,Pranav Dubey
ENT_000037,656795048359,BARB0006789,Navya Reddy
ENT_000038,939124570476,HDFC0004321,Meera Pawar
ENT_000039,103944899549,BARB0006789,Rajesh Patil
ENT_000040,220342736258,CNRB0008899,Kavita Roy
ENT_000041,161157982007,ICIC0008765,Preeti Patel
ENT_000042,903526763113,KKBK0007890,Krishna Gaikwad
ENT_000043,240728187316,HDFC0005678,Ajay Yadav
ENT_000044,388472023723,KKBK0003210,Nikhil Chatterjee
ENT_000045,696695139934,IDIB0001122,Navya Dey
ENT_000046,539425475482,UBIN0005566,Deepa Ahmed
ENT_000047,670799496139,AXIS0006543,Aryan Ghosh
ENT_000048,169684544463,PUNB0005432,Aditya Pandey
ENT_000049,351487177987,BARB0002345,Sara Sharma
ENT_000050,877693993558,BARB0003579,Aayan Mukherjee
ENT_000051,178728590908,KKBK0003210,Riya Sen
ENT_000052,635449182375,ICIC0004321,Meera Rao
ENT_000053,730855031651,BARB0002345,Ajay Ghosh
ENT_000054,623060957599,IDIB0003344,Kunal Banerjee
ENT_000055,203484341332,UBIN0005566,Pankaj Agarwal
ENT_000056,552790822417,AXIS0006543,Reyansh Srivastava
ENT_000057,210149503297,SBIN0005678,Siddharth Paul
ENT_000058,977630621959,CNRB0004455,Pranav Ghosh
ENT_000059,306981303296,KKBK0001928,Anil Rao
ENT_000060,299380463457,ICIC0002468,Sanjay Ghosh
ENT_000061,585655080082,IDIB0003344,Roshni Shah
ENT_000062,813181846360,KKBK0001928,Vivaan Patel
ENT_000063,928612436713,CNRB0004455,Riya Nair
ENT_000064,634321479802,KKBK0007890,Myra Malhotra
ENT_000065,168300472052,HDFC0004321,Swati Sharma
ENT_000066,529433631560,ICIC0002468,Sunil Dutta
ENT_000067,866320981994,UBIN0009900,Sweta Saxena
ENT_000068,635661484746,HDFC0005678,Anika Dutta
ENT_000069,735906343638,UBIN0009900,Meera Singh
ENT_000070,446809914267,SBIN0005678,Reyansh Pandey
ENT_000071,651803604970,CNRB0008899,Kavya Nair
ENT_000072,188080452706,CNRB0004455,Pari Kumar
ENT_000073,175570100353,UBIN0005566,Riya Malhotra
ENT_000074,726594012825,ICIC0008765,Sai Choudhury
ENT_000075,559913616724,UBIN0005566,Preeti Pawar
ENT_000076,324458279522,UBIN0005566,Ramesh Ghosh
ENT_000077,534932502545,HDFC0005678,Vikram Deshmukh
ENT_000078,108901504899,AXIS0006543,Preeti Shah
ENT_000079,688725171936,ICIC0004321,Varun Das
ENT_000080,504776119396,PUNB0009876,Diya Ahmed
ENT_000081,700581361458,UBIN0007788,Vikram Choudhury
ENT_000082,820726006289,KKBK0003210,Vivaan Saxena
