entity_id,account_number,ifsc,canonical_name,identity_key
ENT_000001,101843567009,BARB0006789,Anita Ghosh,101843567009_BARB0006789
ENT_000002,101948728483,UBIN0009900,Sneha Shinde,101948728483_UBIN0009900
ENT_000003,103944899549,BARB0006789,Rajesh Patil,103944899549_BARB0006789
ENT_000004,105360321413,ICIC0002468,Manish Ghosh,105360321413_ICIC0002468
ENT_000005,106937867936,CNRB0006677,Shaurya Verma,106937867936_CNRB0006677
ENT_000006,108901504899,AXIS0006543,Preeti Shah,108901504899_AXIS0006543
ENT_000007,109238601984,ICIC0004321,Varun Deshmukh,109238601984_ICIC0004321
ENT_000008,110895003819,CNRB0004455,Shri Pranav Ali,110895003819_CNRB0004455
ENT_000009,111453993673,CNRB0006677,Sanjay Dutta,111453993673_CNRB0006677
ENT_000010,112637644335,UBIN0005566,Advaith Srivastava,112637644335_UBIN0005566
ENT_000011,113684620811,UBIN0009900,Geeta Dutta,113684620811_UBIN0009900
ENT_000012,114350478636,CNRB0004455,Alok Patil,114350478636_CNRB0004455
ENT_000013,114651587328,SBIN0001234,Kavya Paul,114651587328_SBIN0001234
ENT_000014,116633204627,BARB0002345,Rahul Kulkarni,116633204627_BARB0002345
ENT_000015,117806602466,ICIC0002468,Roshni Pandey,117806602466_ICIC0002468
ENT_000016,119275187833,SBIN0001234,Ishita Yadav,119275187833_SBIN0001234
ENT_000017,123611025550,SBIN0009101,Gaurav Shinde,123611025550_SBIN0009101
ENT_000018,124722602367,PUNB0009876,Sanjay Srivastava,124722602367_PUNB0009876
ENT_000019,128355454532,KKBK0001928,Navya Dey,128355454532_KKBK0001928
ENT_000020,133774683071,SBIN0009101,Sai Tripathi,133774683071_SBIN0009101
ENT_000021,136796035576,BARB0006789,Ananya Srivastava,136796035576_BARB0006789
ENT_000022,137186296056,HDFC0004321,Ramesh Verma,137186296056_HDFC0004321
ENT_000023,137889353643,IDIB0003344,Ramesh Malhotra,137889353643_IDIB0003344
ENT_000024,139742680014,IDIB0001122,Anika Dutta,139742680014_IDIB0001122
ENT_000025,142400633488,CNRB0004455,Ajay Mukherjee,142400633488_CNRB0004455
ENT_000026,143497047298,PUNB0009876,Kavita Gupta,143497047298_PUNB0009876
ENT_000027,146311066182,PUNB0001357,Ishita Ali,146311066182_PUNB0001357
ENT_000028,148408984648,CNRB0008899,Ishan Srivastava,148408984648_CNRB0008899
ENT_000029,148422798459,SBIN0005678,Roshni Dutta,148422798459_SBIN0005678
ENT_000030,149124433247,AXIS0007890,Kavita Srivastava,149124433247_AXIS0007890
ENT_000031,149263855056,BARB0003579,Manish Bhatia,149263855056_BARB0003579
ENT_000032,150425239978,AXIS0003456,Deepak Mukherjee,150425239978_AXIS0003456
ENT_000033,152062942213,ICIC0008765,Alok Dubey,152062942213_ICIC0008765
ENT_000034,154785667210,CNRB0004455,Shri Advaith Reddy,154785667210_CNRB0004455
ENT_000035,154893296571,CNRB0004455,Sunita Sen,154893296571_CNRB0004455
ENT_000036,157616543512,AXIS0003456,Varun Bhatia,157616543512_AXIS0003456
ENT_000037,161157982007,ICIC0008765,Preeti Patel,161157982007_ICIC0008765
ENT_000038,164058325585,KKBK0001928,Kunal Khan,164058325585_KKBK0001928
ENT_000039,164558300421,KKBK0007890,Siddharth Ali,164558300421_KKBK0007890
ENT_000040,165606286550,KKBK0001928,Aadhya Dubey,165606286550_KKBK0001928
ENT_000041,165965001880,AXIS0003456,Rohit Banerjee,165965001880_AXIS0003456
ENT_000042,166027394237,BARB0006789,Vijay Saxena,166027394237_BARB0006789
ENT_000043,166210246191,ICIC0004321,Alok Kapoor,166210246191_ICIC0004321
ENT_000044,166814103555,BARB0002345,Sweta Yadav,166814103555_BARB0002345
ENT_000045,167091801483,BARB0006789,A Chatterjee,167091801483_BARB0006789
ENT_000046,168300472052,HDFC0004321,Swati Sharma,168300472052_HDFC0004321
ENT_000047,169684544463,PUNB0005432,Aditya Pandey,169684544463_PUNB0005432
ENT_000048,169869415070,ICIC0004321,Preeti Dey,169869415070_ICIC0004321
ENT_000049,173556597858,ICIC0008765,Kavita Bhatia,173556597858_ICIC0008765
ENT_000050,173895795270,IDIB0005566,Chatterjee Roshni,173895795270_IDIB0005566
ENT_000051,173899557866,HDFC0001234,Arjun Ahmed,173899557866_HDFC0001234
ENT_000052,174866852259,UBIN0005566,Sunita Choudhury,174866852259_UBIN0005566
ENT_000053,175051409106,SBIN0009101,Shaurya Patel,175051409106_SBIN0009101
ENT_000054,175570100353,UBIN0005566,Riya Malhotra,175570100353_UBIN0005566
ENT_000055,178728590908,KKBK0003210,Riya Sen,178728590908_KKBK0003210
ENT_000056,179421446737,BARB0002345,Reyansh Reddy,179421446737_BARB0002345
ENT_000057,181850729653,UBIN0005566,Siddharth Bhatia,181850729653_UBIN0005566
ENT_000058,182269863100,PUNB0009876,Advik Shinde,182269863100_PUNB0009876
ENT_000059,184965906196,PUNB0001357,Pooja Ghosh ,184965906196_PUNB0001357
ENT_000060,186651263082,BARB0006789,Swati Choudhury,186651263082_BARB0006789
ENT_000061,188080452706,CNRB0004455,Pari Kumar,188080452706_CNRB0004455
ENT_000062,188219282055,HDFC0005678,Ananya Mukherjee,188219282055_HDFC0005678
ENT_000063,189009604775,KKBK0003210,Meena Singh,189009604775_KKBK0003210
ENT_000064,189532603540,ICIC0002468,Navya  Dubey,189532603540_ICIC0002468
ENT_000065,189540907419,BARB0003579,Arjun Patel,189540907419_BARB0003579
ENT_000066,189761667273,PUNB0005432,Ritvik Kumar,189761667273_PUNB0005432
ENT_000067,190510022021,ICIC0002468,Ananya Kapoor,190510022021_ICIC0002468
ENT_000068,191418649552,IDIB0001122,Diya Sen,191418649552_IDIB0001122
ENT_000069,192755074844,CNRB0006677,reyansh reddy,192755074844_CNRB0006677
ENT_000070,194602074538,PUNB0001357,Roshni Patel,194602074538_PUNB0001357
ENT_000071,195058393769,HDFC0004321,Pankaj Ahmed,195058393769_HDFC0004321
ENT_000072,196442742929,PUNB0005432,Pooja Mehta,196442742929_PUNB0005432
ENT_000073,196831611956,BARB0002345,Nikhil Gupta,196831611956_BARB0002345
ENT_000074,198912225902,ICIC0004321,Ira Shinde,198912225902_ICIC0004321
ENT_000075,198915919054,UBIN0009900,Kavya Chatterjee,198915919054_UBIN0009900
ENT_000076,200536554489,ICIC0008765,Advaith Deshmukh,200536554489_ICIC0008765
ENT_000077,203484341332,UBIN0005566,Pankaj Agarwal,203484341332_UBIN0005566
