Timestamp,From Bank,Account,To Bank,Account.1,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022-09-01 00:04:00,8354,80AFDEF60,8354,80AFDEF60,23.43,US Dollar,Reinvestment,0
2022-09-01 12:21:00,8354,80AFDEF60,8354,80AFDEF60,378.78,US Dollar,Reinvestment,0
2022-09-01 12:26:00,25113,8094E5E40,225734,8098F27D0,438041.97,US Dollar,Cheque,0
2022-09-01 12:13:00,25113,8094E5E40,225734,8098F27D0,3389.46,US Dollar,Credit Card,0
2022-09-01 12:11:00,25113,8094E5E40,225734,8098F27D0,41521.91,US Dollar,ACH,0
2022-09-01 13:42:00,25113,8094E5E40,126191,809E4D5E0,2462.22,US Dollar,Cheque,0
2022-09-01 13:40:00,25113,8094E5E40,126191,809E4D5E0,4323.18,US Dollar,ACH,0
2022-09-01 00:18:00,225734,8098F27D0,225734,8098F27D0,290432.15,US Dollar,Reinvestment,0
2022-09-01 10:51:00,225734,8098F27D0,225734,8098F27D0,24.63,US Dollar,Reinvestment,0
2022-09-01 08:13:00,214,8090DFB80,25113,8094E5E40,143.16,US Dollar,Cheque,0
2022-09-01 08:22:00,214,8090DFB80,25113,8094E5E40,1002.38,US Dollar,Credit Card,0
2022-09-01 08:02:00,214,8090DFB80,25113,8094E5E40,42.37,US Dollar,ACH,0
2022-09-01 08:17:00,214,8090DFB80,25113,8094E5E40,2.74,US Dollar,Wire,0
2022-09-01 00:09:00,214,8090DFB80,214,8090DFB80,230074.75,US Dollar,Reinvestment,0
2022-09-01 00:29:00,214,8090DFB80,24779,8095B7C10,5454.45,US Dollar,Cheque,0
2022-09-01 00:15:00,214,8090DFB80,24779,8095B7C10,3301.23,US Dollar,Credit Card,0
2022-09-01 00:27:00,214,8090DFB80,24779,8095B7C10,1226.95,US Dollar,ACH,0
2022-09-01 00:08:00,214,8090DFB80,24779,8095B7C10,2729.51,US Dollar,Wire,0
2022-09-01 16:00:00,214,8090DFB80,24922,809286D70,953.27,US Dollar,Cheque,0
2022-09-01 16:08:00,214,8090DFB80,24922,809286D70,785.68,US Dollar,Credit Card,0
2022-09-01 18:09:00,214,8090DFB80,210,8092B4EC0,8706.72,US Dollar,Cheque,0
2022-09-01 18:25:00,214,8090DFB80,210,8092B4EC0,8853.72,US Dollar,Credit Card,0
2022-09-01 11:11:00,210,808426510,25113,8094E5E40,28401.52,US Dollar,Cheque,0
2022-09-01 11:05:00,210,808426510,25113,8094E5E40,14982.04,US Dollar,Credit Card,0
2022-09-01 12:44:00,24856,809D91970,126191,809E4D5E0,1819.5,US Dollar,Cheque,0
2022-09-01 12:37:00,24856,809D91970,126191,809E4D5E0,759.5,US Dollar,Credit Card,0
2022-09-01 16:19:00,24856,809D91970,24856,809D91970,19.08,US Dollar,Reinvestment,0
2022-09-01 19:48:00,70,100428858,210,808426510,945.0,US Dollar,Cheque,0
2022-09-01 19:36:00,70,100428858,210,808426510,19.8,US Dollar,Credit Card,0
2022-09-01 18:00:00,70,100428858,225734,8098F27D0,30462.51,US Dollar,Cheque,0
2022-09-01 00:22:00,70,100428858,213,8000A20D0,28769.06,US Dollar,Cheque,0
2022-09-01 00:20:00,70,100428858,213,8000A20D0,23219.87,US Dollar,Credit Card,0
2022-09-01 00:19:00,70,100428858,213,8000A20D0,2753.24,US Dollar,Cash,0
2022-09-01 00:19:00,70,100428858,213,8087ED2E0,182905.18,US Dollar,Cheque,0
2022-09-01 00:21:00,70,100428858,213,809097230,186384.12,US Dollar,Cheque,0
2022-09-01 00:13:00,70,100428858,213,809097230,34688.84,US Dollar,Cash,0
