subgraph_id,seed_account,contains_laundering,num_nodes,num_edges,in_degree_seed,out_degree_seed,fan_out_ratio,density,average_degree,num_terminal_sinks,total_transaction_value,max_transaction_value,velocity_tph,velocity_vph,graphml_path
IBM_POS_0001,B23402_8022CFF00,1,16,46,4,4,1.0,0.1917,5.75,9,22329875.14,10060487.95,0.6389,310137.15,data\ibm_graphs\IBM_POS_0001.graphml
IBM_POS_0002,B22758_808098770,1,11,40,2,4,2.0,0.3636,7.2727,1,382353.66,19495.71,0.5556,5310.47,data\ibm_graphs\IBM_POS_0002.graphml
IBM_POS_0003,B28531_80A709C90,1,6,20,6,4,0.6667,0.6667,6.6667,1,72391.89,20440.98,0.2778,1005.44,data\ibm_graphs\IBM_POS_0003.graphml
IBM_POS_0004,B1267_8038F4190,1,2,6,2,6,3.0,3.0,6.0,1,114318.22,50699.09,0.0833,1587.75,data\ibm_graphs\IBM_POS_0004.graphml
IBM_POS_0005,B3051_806A3D750,1,11,40,2,4,2.0,0.3636,7.2727,2,1200101.32,362288.51,0.5556,16668.07,data\ibm_graphs\IBM_POS_0005.graphml
IBM_POS_0006,B3149_801BB70D0,1,2,4,2,4,2.0,2.0,4.0,1,11433.36,3084.43,0.0556,158.8,data\ibm_graphs\IBM_POS_0006.graphml
IBM_POS_0007,B214050_80537F610,1,2,4,2,4,2.0,2.0,4.0,1,1357978.94,349281.29,0.0556,18860.82,data\ibm_graphs\IBM_POS_0007.graphml
IBM_POS_0008,B29794_81358BC60,1,13,38,0,2,2.0,0.2436,5.8462,2,326153.19,130616.85,0.5278,4529.91,data\ibm_graphs\IBM_POS_0008.graphml
IBM_POS_0009,B122545_80AAA1FE0,1,2,4,2,4,2.0,2.0,4.0,1,39011.12,10227.36,0.0556,541.82,data\ibm_graphs\IBM_POS_0009.graphml
IBM_POS_0010,B118_811BCD660,1,19,67,2,4,2.0,0.1959,7.0526,9,40635174.56,10053460.75,0.9306,564377.42,data\ibm_graphs\IBM_POS_0010.graphml
IBM_POS_0011,B6179_809BBC7B0,1,21554,91311,12,6,0.5,0.0002,8.4728,8519,85624816686.83,6864834129.45,1268.2083,1189233565.09,data\ibm_graphs\IBM_POS_0011.graphml
IBM_POS_0012,B148350_812D0C3C0,1,13,45,6,2,0.3333,0.2885,6.9231,6,4247240.43,973120.47,0.625,58989.45,data\ibm_graphs\IBM_POS_0012.graphml
IBM_POS_0013,B1024_8009FD760,1,6,19,6,6,1.0,0.6333,6.3333,1,222573.46,18844.28,0.2639,3091.3,data\ibm_graphs\IBM_POS_0013.graphml
IBM_POS_0014,B16_805CAD3F0,1,4,16,4,6,1.5,1.3333,8.0,0,39081659.93,19181441.98,0.2222,542800.83,data\ibm_graphs\IBM_POS_0014.graphml
IBM_POS_0015,B10_800119810,1,249,914,8,44,5.5,0.0148,7.3414,143,285896030.24,68891104.29,12.6944,3970778.2,data\ibm_graphs\IBM_POS_0015.graphml
IBM_POS_0016,B20_803892E30,1,43,203,8,14,1.75,0.1124,9.4419,11,96322431.77,34090107.87,2.8194,1337811.55,data\ibm_graphs\IBM_POS_0016.graphml
IBM_POS_0017,B148348_81235EE30,1,53,155,8,2,0.25,0.0562,5.8491,20,19299180.09,2310733.38,2.1528,268044.17,data\ibm_graphs\IBM_POS_0017.graphml
IBM_POS_0018,B25113_8095F9B40,1,2,4,2,4,2.0,2.0,4.0,1,36346.54,10337.6,0.0556,504.81,data\ibm_graphs\IBM_POS_0018.graphml
IBM_POS_0019,B243897_81006C920,1,22,99,2,18,9.0,0.2143,9.0,3,36978180.1,6109011.94,1.375,513585.83,data\ibm_graphs\IBM_POS_0019.graphml
IBM_POS_0020,B1_8006FA4B0,1,14398,54117,8,8,1.0,0.0003,7.5173,7488,35997541146.44,6864834129.45,751.625,499965849.26,data\ibm_graphs\IBM_POS_0020.graphml
IBM_POS_0021,B22806_807A61380,1,8,27,2,8,4.0,0.4821,6.75,1,627990.06,133577.84,0.375,8722.08,data\ibm_graphs\IBM_POS_0021.graphml
IBM_POS_0022,B220271_81114D580,1,3,4,2,2,1.0,0.6667,2.6667,1,40077.36,10295.53,0.0556,556.63,data\ibm_graphs\IBM_POS_0022.graphml
IBM_POS_0023,B240229_80F025640,1,30,121,6,6,1.0,0.1391,8.0667,16,52324039.55,16759007.75,1.6806,726722.77,data\ibm_graphs\IBM_POS_0023.graphml
IBM_POS_0024,B513_801947FF0,1,9637,20128,12,10,0.8333,0.0002,4.1772,9607,13884083640.68,1615849280.83,279.5556,192834495.01,data\ibm_graphs\IBM_POS_0024.graphml
IBM_POS_0025,B10057_803DE1580,1,6,21,6,4,0.6667,0.7,7.0,1,5494402.0,892031.21,0.2917,76311.14,data\ibm_graphs\IBM_POS_0025.graphml
IBM_POS_0026,B129974_80FE25690,1,11,40,2,4,2.0,0.3636,7.2727,2,3646882.58,673062.36,0.5556,50651.15,data\ibm_graphs\IBM_POS_0026.graphml
IBM_POS_0027,B28_80A4AD6C0,1,12,56,2,2,1.0,0.4242,9.3333,2,45016639.01,32057888.19,0.7778,625231.1,data\ibm_graphs\IBM_POS_0027.graphml
IBM_POS_0028,B132523_80CA77970,1,7,23,2,2,1.0,0.5476,6.5714,1,139724.76,23056.68,0.3194,1940.62,data\ibm_graphs\IBM_POS_0028.graphml
IBM_POS_0029,B70_100428660,1,38135,186429,10,39936,3993.6,0.0001,9.7773,12505,329948184247.86,28134514273.31,2589.2917,4582613670.11,data\ibm_graphs\IBM_POS_0029.graphml
IBM_POS_0030,B11318_80118E680,1,3,8,4,6,1.5,1.3333,5.3333,1,7840.6,1376.89,0.1111,108.9,data\ibm_graphs\IBM_POS_0030.graphml
IBM_POS_0031,B10_8001A6140,1,9691,20326,14,24,1.7143,0.0002,4.1948,9639,12800371122.46,1615849280.83,282.3056,177782932.26,data\ibm_graphs\IBM_POS_0031.graphml
