complaint_id,predicted_entity_id,match_type,account_number,ifsc,account_holder_name,name_similarity,ground_truth_entity_id
C000001,ENT_000090,EXACT,220342736258,CNRB0008899,Kavita Roy,100.0,ENT_000040
C000002,ENT_000451,EXACT,697775508839,PUNB0009876,Rajesh Shah,100.0,ENT_000450
C000003,ENT_000325,EXACT,535120090431,UBIN0007788,Vijay Pawar,100.0,ENT_000475
C000004,ENT_000493,EXACT,740300175457,UBIN0005566,Ritvik Agarwal,100.0,ENT_000391
C000005,ENT_000650,EXACT,932086292191,PUNB0005432,Kabir Gupta,100.0,ENT_000437
C000006,ENT_000669,EXACT,949994808961,BARB0002345,Aditya Mishra,100.0,ENT_000143
C000007,ENT_000487,EXACT,736119440405,SBIN0001234,Suresh Mishra,100.0,ENT_000162
C000008,ENT_000630,EXACT,903526763113,KKBK0007890,Shri Krishna Gaikwad,85.71,ENT_000042
C000009,ENT_000659,EXACT,942720833045,HDFC0005678,Pooja Dutta,100.0,ENT_000354
C000010,ENT_000348,EXACT,571066644856,KKBK0001928,Karan Singh,100.0,ENT_000608
C000011,ENT_000467,EXACT,718671636967,CNRB0004455,Sara Biswas,100.0,ENT_000629
C000012,ENT_000220,EXACT,395036212198,SBIN0001234,Pari Sen,100.0,ENT_000339
C000013,ENT_000461,EXACT,712277588519,KKBK0003210,Kunal Shah,100.0,ENT_000676
C000014,ENT_000292,EXACT,488893282253,UBIN0005566,Sneha Choudhury,100.0,ENT_000535
C000015,ENT_000252,EXACT,437872761622,SBIN0005678,Sara Malhotra,100.0,ENT_000352
C000016,ENT_000598,EXACT,868287386081,KKBK0007890,Aryan Verma,100.0,ENT_000231
C000017,ENT_000676,EXACT,965467382366,KKBK0003210, Roshni Verma,100.0,ENT_000433
C000018,ENT_000610,EXACT,879126063625,BARB0003579,Alok Dutta,100.0,ENT_000361
C000019,ENT_000534,EXACT,793389003818,PUNB0009876,Rohit Pandey,100.0,ENT_000375
C000020,ENT_000659,EXACT,942720833045,HDFC0005678,Pooja Dutta,100.0,ENT_000354
C000021,ENT_000201,EXACT,362360709927,UBIN0009900,Kunal Patil,100.0,ENT_000179
C000022,ENT_000458,EXACT,709099824282,PUNB0009876,Pranav Rao,100.0,ENT_000083
C000023,ENT_000658,EXACT,942586603917,HDFC0005678,Alok Bhatia,100.0,ENT_000590
C000024,ENT_000425,EXACT,663972481559,AXIS0003456,Meera Kulkarni,100.0,ENT_000442
C000025,ENT_000072,EXACT,196442742929,PUNB0005432,Pooja Mehta,100.0,ENT_000225
C000026,ENT_000371,EXACT,592650091135,ICIC0004321,Rahul C. Bose,100.0,ENT_000465
C000027,ENT_000548,EXACT,806799110299,BARB0003579,Rajesh Dubey,100.0,ENT_000373
C000028,ENT_000640,EXACT,920121345586,UBIN0007788,Meera Khan,100.0,ENT_000296
C000029,ENT_000665,EXACT,947087372942,PUNB0009876,Shaurya Mukherjee,100.0,ENT_000015
C000030,ENT_000063,EXACT,189009604775,KKBK0003210,Meena Singh,100.0,ENT_000664
C000031,ENT_000593,EXACT,863365472754,BARB0003579,Ashok Mishra,100.0,ENT_000691
C000032,ENT_000378,EXACT,598874133330,UBIN0009900,Deepa Khan,100.0,ENT_000574
C000033,ENT_000242,EXACT,425586388909,UBIN0009900,Geeta Joshi,100.0,ENT_000283
C000034,ENT_000219,EXACT,394936156580,UBIN0007788,Ishan Tiwari,100.0,ENT_000018
C000035,ENT_000387,EXACT,609030752531,SBIN0005678,Sweta Ghosh,100.0,ENT_000130
C000036,ENT_000532,EXACT,790757033266,BARB0006789,Kavita Mishra,100.0,ENT_000013
C000037,ENT_000237,EXACT,416597264475,ICIC0008765,Neha Jain,100.0,ENT_000138
